K,Fine(K)
1583,82064111020
1584,82848313840
1585,82854343962
1586,83567764295
1587,83624855326
1588,84359068825
1589,84360613795
1590,85151742873
1591,85151843561
1592,85899334455
1593,85958501904
1594,86694592189
1595,86701404797
1596,87523850984
1597,87523850984
1598,88272471863
1599,88332461488
1600,89111670635
1601,89111670635
1602,89936025799
1603,89937646870
1604,90721406179
1605,90789039475
1606,91562203333
1607,91562203333
1608,92423784261
1609,92423784261
1610,93218862813
1611,93282060302
1612,94091658380
1613,94091658380
1614,94955325041
1615,94962370020
1616,95785883162
1617,95851990507
1618,96662913086
1619,96662913086
1620,97574826572
1621,97574826572
1622,98399272021
1623,98464513357
1624,99316473511
1625,99323882461
1626,100230040536
1627,100230040536
1628,101093522185
1629,101161064758
1630,102019353023
1631,102021121406
1632,102969705277
1633,102969842089
1634,103835218893
1635,103910729711
1636,104800974266
1637,104800974266
1638,105754925168
1639,105755448848
1640,106669568349
1641,106739266949
1642,107631867810
1643,107631984770
1644,108624665064
1645,108634009088
1646,109540989497
1647,109613316026
1648,110547998701
1649,110548220122
1650,111553946300
1651,111554324312
1652,112505446372
1653,112578533547
1654,113514150603
1655,113521803425
1656,114564818229
1657,114564818229
1658,115515987596
1659,115592580904
1660,116579765493
1661,116580324869
1662,117624281865
1663,117624281865
1664,118620707402
1665,118706078262
1666,119689671336
1667,119689671336
1668,120779884413
1669,120779884413
1670,121785368597
1671,121863108896
1672,122890873387
1673,122892883750
1674,123988461016
1675,123996764390
1676,125038830064
1677,125118821826
1678,126146480511
1679,126146635991
1680,127302539503
1681,127302657839
1682,128347723969
1683,128431023120
1684,129505665759
1685,129514120541
1686,130660007642
1687,130662119237
1688,131754972659
1689,131837920099
1690,132924832000
1691,132925037716
1692,134122485630
1693,134122485630
1694,135219962514
1695,135313824982
1696,136440888521
1697,136440888521
1698,137641043144
1699,137641043144
1700,138794806445
1701,138885096843
1702,140013350441
1703,140013783341
1704,141267402101
1705,141277176073
1706,142423380430
1707,142511884038
1708,143693028029
1709,143693028029
1710,144961351585
1711,144961490233
1712,146160328130
1713,146250810514
1714,147432161171
1715,147443892240
1716,148756191199
1717,148756454296
1718,149956254730
1719,150049860414
1720,151295433811
1721,151295433811
1722,152613731176
1723,152613731176
1724,153866974485
1725,153971557410
1726,155207834612
1727,155208509220
1728,156583505868
1729,156586595422
1730,157853481617
1731,157949979031
1732,159241340578
1733,159241340578
1734,160617643567
1735,160627557605
1736,161943405728
1737,162043111410
1738,163338149134
1739,163338284294
